131: $GPVTG,,T,,M,0.645,N,1.195,K,A*28
133: $GPVTG,,T,,M,1.753,N,3.246,K,A*20
135: $GPVTG,,T,,M,0.965,N,1.787,K,A*20
137: $GPVTG,,T,,M,0.435,N,0.806,K,A*2F
139: $GPVTG,,T,,M,0.743,N,1.375,K,A*23
141: $GPVTG,,T,,M,1.030,N,1.907,K,A*2E
143: $GPVTG,,T,,M,1.173,N,2.173,K,A*20
145: $GPVTG,,T,,M,0.339,N,0.627,K,A*29
147: $GPVTG,,T,,M,0.209,N,0.387,K,A*24
149: $GPVTG,,T,,M,0.841,N,1.557,K,A*28
151: $GPVTG,,T,,M,1.467,N,2.718,K,A*2B
153: $GPVTG,,T,,M,0.667,N,1.235,K,A*21
155: $GPVTG,,T,,M,0.382,N,0.707,K,A*2A
157: $GPVTG,,T,,M,0.350,N,0.649,K,A*2E
159: $GPVTG,,T,,M,1.134,N,2.101,K,A*26
161: $GPVTG,,T,,M,0.541,N,1.002,K,A*20
163: $GPVTG,,T,,M,1.067,N,1.977,K,A*2B
165: $GPVTG,,T,,M,1.578,N,2.923,K,A*22
167: $GPVTG,,T,,M,0.621,N,1.151,K,A*22
169: $GPVTG,,T,,M,0.446,N,0.826,K,A*29
171: $GPVTG,,T,,M,0.244,N,0.451,K,A*21
173: $GPVTG,,T,,M,0.530,N,0.982,K,A*26
175: $GPVTG,,T,,M,0.538,N,0.997,K,A*2A
177: $GPVTG,,T,,M,0.991,N,1.836,K,A*2E
179: $GPVTG,,T,,M,0.566,N,1.047,K,A*24
181: $GPVTG,,T,,M,0.269,N,0.498,K,A*2B
183: $GPVTG,,T,,M,0.389,N,0.721,K,A*25
185: $GPVTG,,T,,M,1.312,N,2.430,K,A*27
187: $GPVTG,208.41,T,,M,1.273,N,2.358,K,A*39
189: $GPVTG,,T,,M,0.215,N,0.399,K,A*26
191: $GPVTG,,T,,M,0.597,N,1.106,K,A*2E
193: $GPVTG,,T,,M,0.254,N,0.470,K,A*23
195: $GPVTG,,T,,M,0.078,N,0.144,K,A*2D
197: $GPVTG,,T,,M,0.675,N,1.251,K,A*20
199: $GPVTG,,T,,M,2.330,N,4.315,K,A*22
201: $GPVTG,,T,,M,3.237,N,5.996,K,A*25
203: $GPVTG,,T,,M,1.733,N,3.209,K,A*2D
205: $GPVTG,,T,,M,0.601,N,1.114,K,A*21
207: $GPVTG,,T,,M,0.519,N,0.962,K,A*23
209: $GPVTG,,T,,M,0.490,N,0.908,K,A*2F
211: $GPVTG,,T,,M,0.751,N,1.391,K,A*2A
213: $GPVTG,,T,,M,1.647,N,3.051,K,A*20
215: $GPVTG,,T,,M,0.658,N,1.218,K,A*22
217: $GPVTG,,T,,M,0.191,N,0.353,K,A*2F
219: $GPVTG,,T,,M,0.125,N,0.231,K,A*25
221: $GPVTG,,T,,M,1.283,N,2.376,K,A*2B
223: $GPVTG,214.42,T,,M,2.267,N,4.198,K,A*39
225: $GPVTG,,T,,M,1.419,N,2.628,K,A*20
227: $GPVTG,,T,,M,0.633,N,1.172,K,A*20
229: $GPVTG,,T,,M,0.967,N,1.790,K,A*24
231: $GPVTG,215.02,T,,M,1.989,N,3.683,K,A*3E
233: $GPVTG,,T,,M,0.880,N,1.629,K,A*2F
235: $GPVTG,,T,,M,0.158,N,0.293,K,A*27
237: $GPVTG,,T,,M,0.758,N,1.404,K,A*28
