81: $GPVTG,79.70,T,,M,49.559,N,91.784,K,A*03
82: $GPVTG,79.46,T,,M,49.809,N,92.245,K,A*05
83: $GPVTG,79.48,T,,M,50.070,N,92.730,K,A*02
84: $GPVTG,79.65,T,,M,50.355,N,93.258,K,A*03
85: $GPVTG,79.44,T,,M,50.964,N,94.386,K,A*0D
86: $GPVTG,79.40,T,,M,51.701,N,95.751,K,A*0A
87: $GPVTG,79.57,T,,M,52.223,N,96.716,K,A*0A
88: $GPVTG,79.81,T,,M,52.709,N,97.617,K,A*0D
89: $GPVTG,79.61,T,,M,53.324,N,98.755,K,A*01
90: $GPVTG,79.49,T,,M,53.823,N,99.680,K,A*0F
91: $GPVTG,79.76,T,,M,54.389,N,100.728,K,A*3D
92: $GPVTG,79.70,T,,M,54.788,N,101.467,K,A*37
93: $GPVTG,79.66,T,,M,55.208,N,102.244,K,A*38
94: $GPVTG,79.64,T,,M,55.570,N,102.915,K,A*3D
95: $GPVTG,79.69,T,,M,55.787,N,103.318,K,A*3C
96: $GPVTG,79.79,T,,M,55.937,N,103.595,K,A*3B
97: $GPVTG,79.84,T,,M,56.170,N,104.026,K,A*3B
98: $GPVTG,79.80,T,,M,56.220,N,104.119,K,A*34
99: $GPVTG,79.65,T,,M,56.299,N,104.265,K,A*35
100: $GPVTG,79.69,T,,M,56.436,N,104.519,K,A*36
